USR,beerId,rating,TIMES55TAMP
1,3,1,02585
2,2,1,02145
1,2,0,74125
2,1,1,123
3,4,0,456
5,8,1,78
4,7,1,987
3,5,0,654
5,6,0,324
4,5,1,147
1,2,0,147741
2,7,1,85241
2,20,1,74125
3,21,1,74125
4,22,1,74125
5,23,0,74125
1,25,1,74125
2,35,0,74125
3,37,0,74125
4,38,0,74125
5,48,1,74125
1,49,0,74125
2,50,1,74125
3,55,0,74125
4,58,1,74125
5,57,0,74125
5,34,1,74125
4,35,1,74125
3,36,0,74125
2,37,0,74125
1,29,0,74125
9,8,1,74125
10,25,0,74125
1,47,0,74125
2,28,0,74125
3,29,1,74125
4,21,1,74125
5,22,1,74125
6,20,0,74125
8,20,1,74125
7,21,0,74125
9,22,1,74125
7,31,0,74125
8,32,0,74125
5,34,1,74125
4,38,1,74125
6,37,0,74125
3,38,1,74125
10,38,0,74125
10,36,1,74125
9,57,0,74125
